,5UTRlen,3UTRlen,CDSlen,mRNA_DW,Eff_DW,hl_RS,syn_RS,pro,tAI,TR,startWin_1_MEE,startWin_end_MEE,stopWin_1_MEE,stopWin_end_MEE,uORF,GC3,CDSminMFE,CDSmeanMFE,pAlen2
YBR290W,1.9459,4.8283,6.8732,3.7379,0.19235,2.8273,-1.5896,4.6412,0.34,-1.5082,-7.7,-7.7,-2.2,-3.3,-1.6094,-0.69473,-12.6,-5.5774,35.5
YML113W,3.8712,4.9628,6.6161,3.7298,0.051905,1.9315,-1.1426,4.793,0.33,-2.0197,-2.3,-9.3,-1.9,-6,-1.6094,-0.34712,-18.1,-8.9435,34.7
YHR202W,3.4657,4.804,7.5005,2.5392,-0.50977,2.5572,-2.7181,4.1352,0.36,-2.7646,-10.4,-10.4,-6.6,-8.6,-1.6094,-0.55042,-14.9,-8.022,35.6
YGR129W,3.1781,4.0254,6.4739,3.1604,0.30815,1.9601,-1.7958,4.852,0.38,-2.0834,-5.84,-5.84,3.6,-5,-1.6094,-0.58157,-13.1,-6.54,31.4
YOR025W,2.9444,4.8442,7.2034,4.2249,-0.68224,2.0281,-2.0715,5.649,0.34,-1.856,-5.6,-5.6,-5.5,-4.3,-1.6094,-0.46106,-19.1,-8.0977,35
YGR021W,2.7081,4.2905,6.7719,3.3076,-0.17954,2.3514,-1.8515,4.742,0.34,-1.207,-5.3,-5.3,-4.4,0,-1.6094,-0.31722,-16.9,-9.7071,35.6
YGL070C,3.1781,5.79,5.9108,4.5975,0.5726,2.3224,-1.1809,5.8824,0.37,-1.791,-5.9,-5.9,-4.8,-6.2,-1.6094,-0.57513,-13.7,-9.5727,31.2
YCR027C,5.1591,6.4568,6.4457,3.4366,-0.22451,2.6027,-1.8452,4.7679,0.32,-2.1169,-10.4,-7.7,-5.6,-1.7,0.18232,-0.62312,-16,-9.1316,67.9
YDR176W,3.6376,3.4657,7.654,3.8672,-0.87551,2.0919,-1.2658,4.3567,0.38,-1.6368,3.6,3.6,-2.4,-2.4,-1.6094,-0.65103,-14.7,-6.6377,29
YDR484W,2.8904,4.2767,7.5632,3.1826,-0.50848,2.5177,-2.2164,4.4268,0.37,-2.6722,-7.9,-7.9,-6.7,-7,-1.6094,-0.66819,-13.1,-5.9079,28.1
YOR207C,3.091,5.1533,8.1461,4.6795,-0.55985,2.1748,-0.67531,5.4958,0.44,-2.1021,5.6,5.6,-6.9,0.3,-1.6094,-0.67942,-18.9,-8.4575,33.5
YBL045C,5.2204,5.1648,7.2255,4.8015,0.054919,2.3609,0.11956,5.5255,0.48,-2.9262,-3.1,-8.1,-13,-10.3,0.18232,-0.45561,-17.9,-8.9295,27.7
YLR407W,5.4972,5.4116,6.5323,3.6259,0.10144,2.6946,-1.4567,5.1648,0.34,-1.7265,-5.6,-5,-13.3,0.23,0.18232,-0.51228,-15.7,-8.0667,35.1
YOR175C,4.3438,5.0876,7.5283,4.8427,-0.51776,2.6319,-1.0272,4.9904,0.41,-1.8611,-0.1,-7.8,-4.8,7.9,-1.6094,-0.60089,-19.1,-7.75,30.7
YNL329C,2.8332,4.0943,8.0369,3.5855,-1.5508,1.775,-1.273,3.8214,0.34,-1.6513,-0.4,-0.4,-7.6,-4.6,-1.6094,-0.64026,-15.4,-7.9276,42.3
YGL028C,5.0434,5.7004,7.3957,4.9899,0.19716,0.33647,1.9966,4.3175,0.45,-0.019999,-2.3,-6.5,-7.1,0,0.78846,-0.67513,-15.3,-7.6642,37.6
YDR054C,5.1533,6.1883,6.789,4.6676,0.14647,2.0149,-0.7032,5.6915,0.39,-1.511,-4.5,-8.7,0,0,-1.6094,-0.52078,-13.6,-7.7857,33
YPR171W,3.5835,4.5218,7.4565,3.5488,-0.43791,1.5686,-0.38419,4.944,0.34,-2.0448,-7.2,-3.9,-11.2,-8.3,-1.6094,-0.62175,-15.9,-7.0125,34
YKL103C,3.3322,5.1761,7.3428,4.4827,0.1192,2.5416,-0.83702,5.6443,0.42,-2.6367,1,1,-8.1,4.1,-1.6094,-0.45068,-19.4,-10.053,26.2
YLR114C,4.1589,5.9839,7.7385,4.2056,-0.78885,2.3888,-1.4106,5.1874,0.39,-2.0596,-14.2,-7.8,-6.1,-5,-1.6094,-0.58704,-16.6,-7.4627,29.9
YBR102C,4.3438,4.654,7.724,3.6725,-0.30141,1.9879,-1.5096,4.4148,0.37,-2.2936,-7,-0.5,-4.5,-10.3,-1.6094,-0.55641,-15.4,-7.4614,37.3
YDR096W,6.4583,4.9127,7.8954,3.0996,-0.60892,1.5476,-0.83011,3.989,0.36,-2.7242,-6.7,-7.5,-3.5,-0.7,-1.6094,-0.61094,-22.3,-7.2042,30.7
YLR315W,3.989,6.528,6.1356,2.7575,0.50408,2.4849,-3.5405,4.3883,0.27,-2.4236,-0.6,0,-6.6,0,-1.6094,-0.39206,-15.5,-9.65,44.4
YFR021W,4.5433,4.6913,7.3152,3.5565,-0.27897,2.1163,-1.7898,4.5574,0.36,-1.9519,1.1,-4.8,-13.9,-3.5,-1.6094,-0.4312,-19.1,-9.1884,37.1
YJR042W,3.1355,4.5539,7.712,4.2772,-0.43712,2.1041,-0.90882,5.461,0.35,-1.8592,-6.7,-6.7,-3.3,-4.5,-1.6094,-0.62306,-19.3,-7.9123,29.7
YPL133C,4.8598,4.9836,7.2012,3.2847,-0.9751,2.0015,-1.8773,3.8501,0.33,-1.7868,-8.9,-5.8,-5.3,-7.1,-1.6094,-0.53297,-18.2,-9.8488,31.7
YHL029C,3.2189,4.1897,7.6207,3.3545,-0.76895,0.87547,0.044017,5.3691,0.36,-1.8376,-15.7,-15.7,-9.7,-0.6,-1.6094,-0.42789,-16.5,-6.5924,33.9
YNR023W,3.6889,4.5433,7.439,3.1411,-0.20038,1.7405,-1.4271,4.2097,0.33,-1.8061,-6.5,-5.8,-8.8,-4.5,-1.6094,-0.58473,-16.5,-7.3564,35.6
YOL096C,3.3322,4.7536,6.8448,3.2891,0.1177,2.1633,-1.7373,4.5218,0.37,-2.4169,-5.8,-5.8,-5.1,-6.1,-1.6094,-0.4577,-16.7,-9.3033,33.5
YBR096W,4.1109,4.2047,6.541,5.0318,-0.092742,3.3742,-1.5096,4.0073,0.41,-3.0597,7.78,-3,-4.9,8.5,-1.6094,-0.44131,-17.9,-8.4409,31.5
YHR121W,4.2047,4.2905,6.3351,4.5813,0.31976,3.7062,-1.5279,4.2293,0.39,-2.3218,-9.7,-6.6,1.6,-8.8,-1.6094,-0.47884,-12.6,-6.8,30.7
YOL138C,3.6376,5.6595,8.3005,3.1407,-1.2282,2.1748,-1.7603,4.2485,0.35,-2.0159,-7.1,-12.7,-8.1,-1.9,-1.6094,-0.55791,-16.3,-7.4439,31.2
YOL038W,3.5264,4.0604,6.6399,5.4456,0.3035,2.3026,0.079735,6.746,0.4,-0.89575,-4.4,3.6,-1.5,-3.9,0.18232,-0.41667,-19.6,-11.092,29.1
YKL211C,2.9444,4.852,7.2828,4.6446,0.057714,2.7473,-1.2276,7.2093,0.41,-2.5257,-2.7,-2.7,-0.9,-9.6,-1.6094,-0.48205,-18.1,-10.668,31.4
YLR424W,3.4012,4.625,7.6625,2.7676,-0.57704,2.1401,-2.5903,3.8214,0.35,-2.6708,-9.4,-9.4,-12.6,0.4,-1.6094,-0.57301,-18.6,-7.742,27.7
YCL059C,3.1781,4.6634,6.8575,5.1036,0.11726,3.2189,-0.45413,3.7842,0.43,-1.8592,-6.3,-6.3,-4.6,-8,-1.6094,-0.53962,-16.4,-7.3467,33.9
YLR095C,3.6889,4.0604,7.7993,3.6454,-0.44555,1.9601,-1.1147,4.4811,0.37,-1.8395,-5.4,-4.8,6.2,-6.7,-1.6094,-0.46559,-16.6,-7.84,31.4
YBR034C,2.5649,5.247,6.9537,5.1498,-0.062286,2.0794,0.16297,6.2442,0.46,-1.5833,-4.8,-4.8,-10.7,5.3,-1.6094,-0.42644,-17.6,-9.0818,30
YJR063W,3.8501,4.8675,5.9349,4.775,0.24664,2.8622,-0.96496,6.6966,0.41,-2.2182,-7.1,3.9,-4.5,-3.4,-1.6094,-0.50858,-12.6,-8.6091,30.1
YDL040C,3.2581,4.7185,7.8497,5.2115,-0.31943,2.5726,-0.97022,6.1107,0.42,-1.842,-8,-8,-1.4,-9.7,-1.6094,-0.52794,-17.1,-8.15,27.6
YML041C,3.7842,4.4188,6.737,3.1814,-0.074555,2.8565,-2.551,4.2195,0.32,-2.5956,-8.3,-7.8,-5.3,-7.2,-1.6094,-0.60785,-14.3,-6.8444,38.1
YML014W,2.3026,4.2195,6.7334,4.052,0.10034,2.9857,-2.3539,4.4067,0.36,-2.331,-6.4,-6.4,-9.1,-8.4,-1.6094,-0.3887,-17.4,-9.1615,36
YKR071C,1.0986,5.4889,6.9537,4.8171,0.26137,2.2083,-0.53957,5.6058,0.41,-1.2776,-8.3,-8.3,-3.9,-5.3,-1.6094,-0.63019,-14.3,-7.3627,34.2
YKL120W,4.4998,5.2149,6.8824,5.3582,0.11994,1.9879,-0.76572,7.3957,0.42,-1.3771,-4.6,-3,-2.7,-1.5,0.18232,-0.6462,-16.7,-9.1355,35
YLR381W,3.9318,4.3175,7.6971,2.6319,-1.185,1.6864,-1.7487,3.6636,0.32,-2.8878,-4.6,-4,-1.3,-8.9,-1.6094,-0.52439,-19.2,-7.2292,38.6
YER092W,2.1972,5.5373,5.9349,4.5274,0.27717,3.4404,-2.2828,4.7735,0.35,-1.526,-2.9,-2.9,-8.7,5.4,-1.6094,-0.60552,-16.9,-8.4909,23.8
YMR153W,3.7612,4.9972,7.264,3.9752,0.15774,2.2407,-1.474,5.1892,0.36,-2.2238,-3.8,-4,-5,-6.4,-1.6094,-0.60552,-14.8,-7.4848,32.5
YMR124W,5.5134,4.3438,7.9487,3.4171,-0.43747,1.7918,-1.4106,4.4006,0.38,-2.2538,-1.1,-9.2,-9,5.6,-1.6094,-0.60969,-13.4,-6.5527,31.4
YPR103W,4.4427,4.0431,6.7616,5.5898,0.19913,2.5572,-0.25489,3.7136,0.43,-0.90832,-8.1,-5.1,2.3,-4.1,0.18232,-0.63036,-19,-9.9704,32.8
YPL085W,4.92,4.5218,8.793,4.6974,-0.40542,2.1748,-1.2006,5.2696,0.37,-2.2055,-5.3,-4.4,-3.5,-2.3,-1.6094,-0.62429,-18.7,-7.5817,20.9
YOR132W,4.2485,3.8918,7.4122,4.1455,-0.40713,2.3888,-1.8202,4.8828,0.35,-1.7844,-6.2,-0.9,1.13,-3.8,-1.6094,-0.59937,-16,-7.4093,33.8
YPL067C,4.0254,4.382,6.3919,3.3354,0.23243,2.7014,-2.386,4.3903,0.33,-2.0715,-3.1,-5.1,-6,-7.4,0.18232,-0.31285,-23.2,-12.017,49.3
YGL087C,3.2581,4.7449,6.0259,4.4896,0.55178,3.1822,-1.4697,5.1911,0.42,-1.7435,4.7,4.7,-7.7,-6.1,-1.6094,-0.55738,-12.7,-7.1417,26.3
YBR269C,2.9957,5.0499,6.0331,4.5024,0.46738,2.9392,-1.666,4.7095,0.31,-1.7344,-6.5,-6.5,-2.4,-0.7,-1.6094,-0.42118,-17.8,-10.783,31.6
YBR125C,5.2311,4.9127,7.075,3.8704,-0.47619,2.3026,-1.0906,3.7377,0.34,-2.3969,-9.7,-7.3,-10.4,0,-1.6094,-0.5412,-16.2,-8.8237,37.2
YNL166C,3.0445,4.4998,7.2056,4.0318,0.27541,2.3609,-1.2874,5.0499,0.38,-1.8734,-1.8,-1.8,-4.6,0.2,-1.6094,-0.56301,-19.9,-7.8279,35.8
YIL145C,2.0794,4.6052,6.8352,4.3694,0.037637,2.6027,-1.1907,5.5683,0.35,-1.8971,-5.9,-5.9,-10.7,-4.9,-1.6094,-0.48702,-14,-9.8,31.1
YLR194C,2.9444,4.1431,6.6399,4.0659,0.36451,2.2618,-0.51919,4.5504,0.35,-0.56037,0.6,0.6,-9,-3.6,-1.6094,-0.44075,-27,-10.133,41.9
YPL110C,3.7612,4.6052,8.2085,3.5157,-0.41607,2.0794,-1.7545,4.3041,0.37,-2.9188,3.8,-4.2,-7.5,-4.4,0.18232,-0.59235,-16.4,-7.7345,33.3
YKL040C,2.7081,5.5215,6.6477,4.5269,0.25543,3.0727,-1.8839,5.7214,0.43,-1.4317,-9.4,-9.4,5.6,0,0.18232,-0.56902,-18.2,-9.125,34.7
YPL203W,5.0876,5.4765,7.0414,3.8668,-0.079677,2.2824,-1.8579,4.538,0.37,-2.4373,-8.7,6.3,-2.6,0,-1.6094,-0.5868,-16.8,-8.6784,32.1
YNR055C,6.1225,4.3567,7.4736,4.1035,-0.84345,2.4681,-1.3471,4.3086,0.41,-1.6049,-1.9,-3.3,-11.4,-5.7,0.78846,-0.48688,-17.7,-9.8421,39.6
YML115C,3.7377,4.0254,7.3827,4.5931,-0.032088,2.1518,-0.86275,4.258,0.39,-1.8938,-8,-6.6,-2.5,2.6,-1.6094,-0.55691,-17.5,-8.9135,31.5
YNL221C,4.1109,4.9345,7.874,4.1159,-0.90268,1.7918,-0.73397,3.912,0.35,-1.5731,-2.6,-9.6,-9.8,-3.5,-1.6094,-0.55825,-16.3,-7.807,31.2
YLR336C,3.2581,4.7095,7.901,3.7944,-0.20503,1.9741,-1.1777,5.0348,0.37,-2.3187,-5,-5,-3.5,-4.47,-1.6094,-0.64587,-18.5,-7.7455,27.7
YFR002W,1.9459,4.4773,7.832,4.5683,-0.54886,2.1633,-0.99967,5.5972,0.4,-1.6724,-13.7,-13.7,-2.5,-8.2,-1.6094,-0.58822,-20.5,-7.9671,35.5
YBR057C,4.4886,4.6347,7.004,3.423,-0.09004,2.4932,-1.3665,4.1972,0.37,-2.0573,-5.5,-8.4,-10.1,-7.4,-1.6094,-0.51522,-12.9,-6.3649,38.9
YPL269W,2.1972,4.9416,7.5679,2.9699,-1.8289,1.9021,-1.575,3.989,0.36,-3.1442,-1.9,-1.9,-8.3,-4.4,-1.6094,-0.58126,-15.5,-7.6,40.1
YER131W,5.9558,4.7791,5.8861,7.6147,0.29446,3.4111,0.011929,8.0665,0.6,-0.91879,6.8,-1.24,-4.1,-7.7,-1.6094,-0.48833,-10,-7.5,28.6
YGL113W,3.5835,5.5094,7.6044,3.1219,-1.4771,1.6677,-1.5945,4.0431,0.35,-2.4817,-10.7,-14.5,-5.1,-6.3,-1.6094,-0.59714,-15.3,-6.2494,38.3
YGL105W,3.1355,4.5643,7.0309,6.6094,0.1768,3.1001,0.091667,7.5907,0.53,-1.94,-3.6,-3.6,-2.5,-4.7,-1.6094,-0.50237,-16.7,-8.8806,27.9
YEL019C,2.1972,3.9318,6.6896,2.4362,-0.075387,1.335,-2.8647,4.3652,0.37,-3.2571,2.4,2.4,-1.4,-5.6,-1.6094,-0.59001,-15.1,-7.196,34.3
YDR486C,2.0794,4.852,6.5367,4.1114,0.217,2.6672,-1.5096,5.112,0.4,-2.1078,-6.8,-6.8,3.2,-9.3,-1.6094,-0.43152,-19.9,-7.581,29.9
YNL293W,3.7136,4.6052,7.5507,3.0253,-0.4908,2.3125,-1.9951,4.2341,0.35,-2.3805,-8.5,4.9,-10.9,-1.2,-1.6094,-0.50767,-20.1,-8.4968,39.5
YLL023C,3.3673,4.8363,6.7334,4.2025,0.26277,2.3125,-0.61619,4.8675,0.4,-1.2255,-3.6,-3.6,-5.2,0,-1.6094,-0.33736,-20.1,-9.0885,35.9
YDL129W,5.0106,6.0355,6.7754,2.8959,-0.43376,1.9459,-2.2073,3.6889,0.33,-1.9769,-8.9,-11.6,-4.1,2.6,-1.6094,-0.54635,-16.3,-7.4821,46.5
YNL045W,2.3026,4.1897,7.6089,4.5413,-0.13041,2.3888,-0.98618,5.3906,0.42,-2.7758,-3,-3,-8,-7.5,-1.6094,-0.50201,-18.7,-8.697,25
YGR214W,2.9444,4.2905,6.632,7.8247,0.245,3.3286,0.95243,5.6033,0.59,-1.3972,-5.3,-5.3,-1.1,-4.8,-1.6094,-0.55853,-16.5,-9.6375,25
YCR083W,2.3026,4.7449,5.9506,4.6578,-0.020028,3.3673,-2.1982,3.7612,0.4,-1.8985,-11.6,-11.6,-1.42,-6.7,-1.6094,-0.41946,-13,-9.5636,42.6
YNL310C,3.5264,4.4886,6.2634,4.1665,0.24374,2.7213,-2.1286,7.2647,0.35,-2.3455,-5.3,-5.3,-9.3,-1.4,-1.6094,-0.36065,-18,-9.9406,37.6
YDL021W,3.5553,5.1985,6.8416,3.1467,-0.078682,2.9907,-2.4889,4.0775,0.41,-2.7288,-3.3,-0.5,-10.9,-9.4,-1.6094,-0.61394,-14.5,-8.5667,28.3
YML035C,5.1648,5.4765,7.7969,4.5918,-0.37537,2.2192,-1.231,5.3279,0.41,-2.398,-3,-3.3,-6.9,-7.1,-1.6094,-0.56488,-29.6,-8.8975,32.6
YKL009W,3.5835,4.6821,6.5667,5.2247,0.49273,2.5494,0.31408,6.4356,0.48,-1.5479,-3.4,-3.4,-6,0.7,-1.6094,-0.63408,-13.4,-7.7545,34.4
YCL052C,3.9703,5.1358,7.1317,3.7762,-0.43122,2.3795,-0.64055,4.2996,0.37,-3.0555,-11.5,-13.8,-9.6,-8.1,-1.6094,-0.61847,-11.8,-6.7775,32.1
YNL127W,4.3307,5.4889,7.9593,3.4566,-0.98515,2.1282,-1.9241,4.1109,0.36,-2.5652,-9.2,-1.8,-9.3,-4.2,-1.6094,-0.63024,-19.2,-7.8968,31.7
YKR029C,2.3979,4.6728,7.7213,3.3928,-0.18886,1.9169,-1.7148,4.1484,0.35,-2.4757,-10.2,-10.2,-1.4,-6.7,-1.6094,-0.70152,-14.2,-6.1711,33.6
YJL104W,3.091,5.118,6.1092,4.8584,0.29701,2.4336,-0.88673,6.0474,0.35,-1.6225,-10.8,-10.8,-7.6,-1.6,-1.6094,-0.66298,-11.8,-7.4,34.8
YOR296W,3.912,5.204,8.261,3.2284,-1.2585,2.0149,-1.4271,4.2485,0.33,-2.8577,-5.7,-8.1,-6.5,-6.4,-1.6094,-0.64272,-17,-7.3628,31.7
YDL174C,3.2958,4.5218,7.4753,4.1688,-0.56933,2.3026,-1.2946,3.7612,0.42,-1.7856,-10.1,-10.1,-5.6,-3.4,-1.6094,-0.38795,-26.1,-10.2,32.4
YDL103C,4.1271,4.7958,7.2682,4.4536,0.24383,2.4159,-1.3704,5.2003,0.42,-2.3382,-0.9,-5.1,-8.5,3.1,-1.6094,-0.57054,-14.8,-8.6826,31.8
YMR287C,3.6109,4.6151,7.9759,3.0531,-1.0652,1.9021,-1.6246,3.8918,0.33,-2.7871,-7.5,-10,-7.9,0.4,-1.6094,-0.64684,-16.9,-7.1874,30.9
YHR158C,4.8828,4.9488,8.1591,3.9707,-0.41133,1.9601,-1.0671,4.6697,0.38,-2.0612,-5.6,-6.6,-4,6.2,-1.6094,-0.61036,-21.4,-7.4063,30.4
YMR300C,4.8283,4.1431,7.335,5.1223,-0.0080817,2.5014,-0.37542,6.8473,0.44,-1.7137,-1.2,-2.9,-7.4,-3.9,-1.6094,-0.678,-16.7,-9.478,35.9
YOR006C,3.6636,4.1744,6.848,3.6951,0.30949,2.1163,-0.8463,4.3567,0.37,-1.2946,-4.6,-7,-8,-2.8,-1.6094,-0.57191,-15.6,-9.41,36.2
YLR277C,4.9904,4.1109,7.7579,3.6791,-0.67886,2.1518,-1.4524,4.5574,0.37,-2.2164,-2,-5.6,-9.9,-8.9,-1.6094,-0.69277,-16.3,-7.8132,46.3
YAL002W,4.4886,4.0073,8.2493,3.0987,-1.353,1.7918,-1.1874,3.8816,0.36,-2.7985,-10,-5.9,-2.8,0,0.18232,-0.59602,-20.5,-7.6492,36.2
YHR018C,3.989,5.0239,7.2385,4.3678,0.19446,2.2618,0.62487,7.8602,0.44,-2.0371,-2.9,-5.4,-7.3,-8.9,-1.6094,-0.58486,-17.8,-9.9089,36.3
YDR408C,3.8067,5.2149,6.4693,4.9321,0.08326,2.9339,-1.2276,6.8794,0.39,-1.4061,-5.6,-5.2,1.5,-11.2,0.18232,-0.33006,-19.6,-11.425,33.7
YHR195W,5.112,5.2781,6.8732,3.5542,-0.62088,2.2192,-1.4065,4.638,0.34,-1.7994,-7.1,-9.1,-4.7,-3.3,0.18232,-0.55558,-13.7,-7.3774,47.1
YNL141W,3.091,4.7362,6.9508,4.5879,0.04496,2.9601,-1.1712,6.1413,0.44,-1.9085,-9.8,-9.8,-6.3,3.7,-1.6094,-0.58615,-17.2,-10.173,34.9
YOR308C,3.1355,5.8833,7.4753,3.1946,-0.22622,1.7047,-1.3205,4.5109,0.34,-1.9878,-4.9,-4.9,-9.4,-11.8,-1.6094,-0.68662,-16.7,-5.9468,31
YOL005C,3.5835,3.9318,5.8944,4.9198,0.708,3.0727,-0.93649,6.2816,0.38,-0.97075,-7.5,-5.8,-3.8,-5.5,-1.6094,-0.2126,-14.8,-9.3,31.9
YOR213C,4.6728,5.8406,6.6161,3.4065,-0.5792,2.3026,-2.0025,4.0775,0.33,-2.6437,-6.8,-7.3,-6.6,-8.2,-1.6094,-0.53403,-16.6,-7.5435,36.3
YLL029W,4.6347,4.6347,7.7187,4.6388,-0.51021,2.1748,-0.79851,5.828,0.38,-1.3867,3.8,-4.1,-5.7,1.2,-1.6094,-0.44319,-19.8,-9.1937,30.2
YML029W,4.382,4.654,7.8308,3.7374,-0.56105,2.1401,-2.0402,3.7842,0.36,-2.0651,-9.1,-9.7,-6.4,-14.9,-1.6094,-0.47019,-19.2,-8.6244,40.2
YCR048W,3.7842,5.193,7.5137,4.4402,-0.56939,2.2083,-1.6607,3.6636,0.34,-2.2509,-5.77,-5.8,-5.5,-4.6,-1.6094,-0.10107,-25,-11.188,32.9
YJL186W,3.3673,4.7622,7.4736,4.9272,-0.14136,2.3321,-0.62549,4.7749,0.39,-1.6079,-4.9,-4.9,-2.7,-6.2,-1.6094,-0.43292,-16.8,-9.1947,46.7
YDR399W,4.2341,4.7185,6.5013,5.8876,0.15313,2.8679,0.18897,7.4327,0.49,-0.85567,-1.1,-2.67,-7.2,-4.9,-1.6094,-0.51323,-15.9,-8.7381,33.5
YLR133W,3.1781,4.1744,7.4668,3.6543,0.1242,2.0412,-2.0402,5.4446,0.39,-2.4913,-4.3,-4.3,-6.2,-3.4,-1.6094,-0.49612,-17,-8.5649,33
YJL050W,3.8712,4.0604,8.0778,4.8709,-0.16744,2.1633,-0.45728,4.4773,0.44,-1.7193,-4.8,-8.1,-2.9,-4.1,-1.6094,-0.61852,-18.4,-7.9538,28.1
YDL202W,3.9703,4.9767,6.6201,4.0658,0.15858,2.5726,-1.5187,5.1475,0.36,-2.2653,-10.7,1,-5.5,-5.7,-1.6094,-0.45154,-13.8,-7.7348,34.8
YLR216C,3.4012,4.7185,7.0175,6.0862,0.25429,2.4932,0.053541,6.6648,0.46,-0.23775,-3.7,-3.7,-2.8,-5.1,-1.6094,-0.57571,-19.5,-9.0472,25.6
YER090W,3.9703,4.6347,7.3291,5.212,0.31965,3.0445,-0.72155,7.0837,0.43,-2.8336,-9.4,-6.3,-5.5,-7.9,0.18232,-0.65896,-14.3,-8.6082,38
YGL185C,2.0794,4.1109,7.0388,3.2718,-0.20892,2.4681,-2.6451,4.1897,0.35,-2.5183,-6.1,-6.1,-6.5,0.8,-1.6094,-0.58506,-24.3,-9.2583,34.9
YOR165W,3.4965,5.112,7.7541,4.7163,-0.31394,2.1041,-0.82326,5.3,0.41,-1.8528,-9.2,-9.2,-4.1,-10.3,-1.6094,-0.66753,-15.5,-8.0316,27.1
YOR130C,3.091,4.2195,6.7788,3.4125,-0.42931,2.8959,-1.4653,4.585,0.31,-3.0662,-4.4,-4.4,-3.2,-6.4,0.18232,-0.59707,-18,-10.664,35.7
YLR369W,3.1355,4.2485,7.5878,3.4197,-0.049297,2.0541,-1.5896,4.8953,0.38,-2.0675,-7.5,-7.5,-0.7,-0.4,-1.6094,-0.67468,-15.5,-8.0875,36
YDR097C,4.5218,3.8067,8.2239,3.9518,-0.38765,2.1401,-1.3744,4.2767,0.39,-2.4013,-7.6,-8.8,-1,-3.8,-1.6094,-0.64449,-17.4,-7.6033,35.5
YOL148C,3.7612,4.4998,7.5038,3.6991,-0.6498,1.4586,-1.0106,4.4924,0.34,-2.162,-5.3,-7.2,-0.4,-13.7,-1.6094,-0.59969,-20.2,-8.0644,22
YJR129C,3.8067,3.6889,6.9276,3.2292,-0.39073,1.9169,-2.3434,3.9703,0.35,-1.1056,-8.8,0.4,-6.9,-1.8,-1.6094,-0.38592,-19.6,-9.1031,26.1
YLR192C,1.7918,5.4806,6.6821,5.7758,0.54312,2.7788,-0.29571,6.4945,0.51,-1.5155,2.8,2.8,-5.8,-14.9,-1.6094,-0.58506,-16.2,-8.248,31.7
YBR149W,3.2189,4.6151,6.9422,5.3404,0.17825,2.7473,-0.83933,4.6728,0.44,-2.3465,-3.7,-3.7,-2.9,-7.1,-1.6094,-0.50081,-16.2,-9.4667,29.3
YKL042W,4.9273,5.3613,6.9958,3.3149,0.16817,1.9169,-1.423,4.3041,0.36,-2.1884,0.7,-4.2,-9.8,-5,-1.6094,-0.54687,-11.8,-5.82,30.9
YPL112C,3.9512,4.1897,7.0775,4.4595,-0.27694,2.7788,-1.6045,5.0129,0.36,-2.1046,-10.1,8.2,-5.1,-8.3,-1.6094,-0.57389,-15.2,-8.1842,33.8
YKL013C,2.8904,5.1059,6.2461,5.4843,0.17702,2.7408,-0.66553,5.1818,0.39,-1.7441,-8.9,-8.9,-8.2,-5.2,-1.6094,-0.56818,-12.2,-8.1312,29.2
YIL016W,3.2189,3.989,6.1738,4.7779,-0.1054,2.4681,-1.0936,5.9243,0.41,-1.0874,-7.2,-7.2,-1,-13.5,-1.6094,-0.34616,-14.5,-7.7857,33.3
YHR206W,5.6454,5.6419,7.5332,4.0185,-0.65851,1.8718,-0.9213,4.3373,0.36,-1.7226,-6.75,12.8,-4.6,-12.3,-1.6094,-0.52775,-18.4,-7.6607,35.4
YIL030C,4.1431,4.4659,8.284,4.6432,-0.60247,2.1282,-0.48289,4.5182,0.39,-1.969,-10.9,-4.7,-3.5,-1.7,-1.6094,-0.57467,-18.6,-7.6192,29.9
YJR103W,4.1431,3.989,7.4599,4.0905,-0.091386,2.3609,-1.0527,4.3108,0.39,-1.7299,-3.5,-0.8,-5.2,-0.2,-1.6094,-0.41791,-20,-10.614,29.9
YER133W,4.2341,6.0403,6.8448,5.765,0.1341,2.7344,-0.32989,6.5497,0.42,-1.1533,-3.3,-3.5,-4.5,-0.1,-1.6094,-0.75545,-16.4,-9.1933,27.1
YDL190C,5.2679,5.3279,7.9676,4.2566,-0.41222,2.1861,-1.2107,5.2095,0.4,-2.7181,1.3,-3.6,-2.8,-6.4,0.78846,-0.61426,-16.4,-7.5639,31
YHR102W,5.2149,4.0775,8.0843,3.471,-0.66767,1.8563,-1.5141,4.3779,0.34,-2.0604,-2.8,-1.1,-2.7,-11.8,-1.6094,-0.57066,-15.6,-7.9005,28.7
YMR243C,4.0431,5.0938,7.1922,5.6022,-0.42386,2.9444,-0.5727,5.9428,0.41,-1.4957,-4,-4.7,-7.8,-14.9,-1.6094,-0.64868,-17.5,-9.2674,34.5
YGL111W,3.434,5.124,7.2385,4.3556,-0.1461,2.3702,-1.1874,5.2832,0.37,-1.876,-5,-5,-5.9,2.7,-1.6094,-0.581,-17.8,-7.4778,34
YPR188C,1.0986,3.8918,6.1985,4.5358,0.22687,3.619,-2.0326,3.8918,0.37,-1.7952,-5,-5,-6.2,-6.6,-1.6094,-0.52579,-14.8,-8.2933,31.2
YOR374W,3.8712,4.9127,7.3524,4.9454,0.087954,2.23,-0.79851,6.4698,0.47,-3.0038,-4,-4,-14.2,0,-1.6094,-0.40711,-20.2,-11.12,28.3
